,Airport,FAA REGION,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,Arrival Percentage,Departure Percentage,No Diversion Percentage,Overall Chance of No Problems
185,SAN,AWP,956.0,839.0,133.0,228.0,86848.0,87415.0,0.802,0.7573,0.7791,11.26,13.52,3.71,13.83,1.95,0.97,2.39,11.87,0.990402104902,0.988992262343,0.99585683708,0.991750401442
186,SAN,AWP,1010.0,931.0,155.0,183.0,90092.0,90007.0,0.7792,0.7378,0.7647,12.82,13.68,3.58,15.2,2.1,0.87,2.46,13.07,0.989656360061,0.988789237668,0.996246508865,0.991564035531
187,DAL,ASW,1186.0,1272.0,64.0,83.0,58591.0,57844.0,0.705,0.6938,0.7463,13.87,8.15,1.86,15.42,4.72,0.65,2.32,13.12,0.978009819515,0.979757983308,0.997474986044,0.985080929622
188,DAL,ASW,969.0,1012.0,55.0,64.0,53226.0,53340.0,0.7268,0.7118,0.7686,12.73,8.57,1.95,14.46,4.89,0.75,2.14,11.96,0.981027371579,0.981794611656,0.997766642269,0.986862875168
189,DAL,ASW,968.0,1023.0,60.0,74.0,60231.0,60432.0,0.7372,0.7152,0.7612,13.3,9.27,2.12,15.09,4.44,0.76,2.1,12.87,0.983071882446,0.983928541781,0.997778938034,0.98825978742
190,DAL,ASW,1029.0,1129.0,90.0,201.0,65714.0,65822.0,0.705,0.6708,0.7264,16.04,9.89,2.52,18.22,4.7,0.88,2.75,15.36,0.982847680107,0.984341236266,0.995575355796,0.987588090723
191,DAL,ASW,975.0,1064.0,113.0,139.0,63362.0,63315.0,0.7219,0.6868,0.7486,14.79,9.73,2.33,16.9,3.61,0.86,2.35,13.96,0.983195135434,0.984612228149,0.996021377203,0.987942913596
192,DAL,ASW,663.0,737.0,129.0,107.0,55238.0,55165.0,0.7464,0.7203,0.7948,13.49,9.47,2.09,15.15,3.65,0.65,1.75,11.08,0.986640079761,0.987997393099,0.995724753856,0.990120742239
193,DAL,ASW,729.0,790.0,116.0,124.0,53342.0,53200.0,0.6971,0.67,0.7557,15.57,9.61,2.21,17.22,3.45,0.91,1.75,13.04,0.98515037594,0.986333470811,0.995494734471,0.988992860407
194,DAL,ASW,911.0,906.0,77.0,156.0,54947.0,54757.0,0.7169,0.6965,0.7637,14.78,9.28,1.78,15.98,2.74,0.94,1.8,13.33,0.983454170243,0.983420386918,0.995752205936,0.987542254366
195,DAL,ASW,588.0,595.0,74.0,84.0,55964.0,55754.0,0.7543,0.7373,0.7899,12.62,9.21,1.77,13.71,2.56,0.88,1.71,11.5,0.989328119956,0.989493245658,0.997171449543,0.991997605052
196,DAL,ASW,475.0,544.0,88.0,95.0,57314.0,56767.0,0.6899,0.6547,0.7289,14.96,10.1,2.51,16.83,2.31,1.6,2.34,14.26,0.990416967604,0.991712321597,0.996791753228,0.99297368081
